Agregados macroeconómicos;Ramas de actividad;Periodo;Total
Producción;02 Silvicultura y explotación forestal;1999;1.312
Producción;02 Silvicultura y explotación forestal;1998;1.226
Producción;02 Silvicultura y explotación forestal;1997;1.043
Producción;02 Silvicultura y explotación forestal;1996;923
Producción;02 Silvicultura y explotación forestal;1995;848
Producción;03 Pesca y acuicultura;2018;..
Producción;03 Pesca y acuicultura;2017;2.898
Producción;03 Pesca y acuicultura;2016;2.779
Producción;03 Pesca y acuicultura;2015;2.749
Producción;03 Pesca y acuicultura;2014;2.839
Producción;03 Pesca y acuicultura;2013;2.695
Producción;03 Pesca y acuicultura;2012;2.752
Producción;03 Pesca y acuicultura;2011;2.837
Producción;03 Pesca y acuicultura;2010;2.591
Producción;03 Pesca y acuicultura;2009;2.664
Producción;03 Pesca y acuicultura;2008;2.610
Producción;03 Pesca y acuicultura;2007;2.801
Producción;03 Pesca y acuicultura;2006;2.686
Producción;03 Pesca y acuicultura;2005;2.696
Producción;03 Pesca y acuicultura;2004;2.900
Producción;03 Pesca y acuicultura;2003;2.657
Producción;03 Pesca y acuicultura;2002;2.738
Producción;03 Pesca y acuicultura;2001;2.712
Producción;03 Pesca y acuicultura;2000;2.632
Producción;03 Pesca y acuicultura;1999;2.726
Producción;03 Pesca y acuicultura;1998;2.610
Producción;03 Pesca y acuicultura;1997;2.519
Producción;03 Pesca y acuicultura;1996;2.491
Producción;03 Pesca y acuicultura;1995;2.349
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;94.184
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017;93.350
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016;90.343
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015;99.240
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014;105.294
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013;105.975
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2012;103.784
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2011;100.884
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2010;104.425
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2009;90.381
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2008;101.026
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2007;87.028
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2006;79.183
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2005;69.013
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2004;57.440
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2003;53.296
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2002;49.358
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2001;45.538
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2000;41.118
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1999;36.637
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1998;33.433
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1997;33.026
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1996;30.881
Producción;BDE Industrias extractivas; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1995;29.001
Producción;B Industrias extractivas;2018;5.188
Producción;B Industrias extractivas;2017;4.330
Producción;B Industrias extractivas;2016;3.683
Producción;B Industrias extractivas;2015;3.734
Producción;B Industrias extractivas;2014;3.853
Producción;B Industrias extractivas;2013;4.171
Producción;B Industrias extractivas;2012;5.167
Producción;B Industrias extractivas;2011;5.746
Producción;B Industrias extractivas;2010;6.104
Producción;B Industrias extractivas;2009;6.108
Producción;B Industrias extractivas;2008;7.515
Producción;B Industrias extractivas;2007;7.838
Producción;B Industrias extractivas;2006;7.112
Producción;B Industrias extractivas;2005;6.460
Producción;B Industrias extractivas;2004;6.208
Producción;B Industrias extractivas;2003;5.847
Producción;B Industrias extractivas;2002;5.270
Producción;B Industrias extractivas;2001;4.973
Producción;B Industrias extractivas;2000;4.044
Producción;B Industrias extractivas;1999;3.782
Producción;B Industrias extractivas;1998;3.689
Producción;B Industrias extractivas;1997;3.774
Producción;B Industrias extractivas;1996;3.934
Producción;B Industrias extractivas;1995;4.094
Producción;05-09 Industrias extractivas;2018;..
Producción;05-09 Industrias extractivas;2017;4.330
Producción;05-09 Industrias extractivas;2016;3.683
Producción;05-09 Industrias extractivas;2015;3.734
Producción;05-09 Industrias extractivas;2014;3.853
Producción;05-09 Industrias extractivas;2013;4.171
Producción;05-09 Industrias extractivas;2012;5.167
Producción;05-09 Industrias extractivas;2011;5.746
Producción;05-09 Industrias extractivas;2010;6.104
Producción;05-09 Industrias extractivas;2009;6.108
Producción;05-09 Industrias extractivas;2008;7.515
Producción;05-09 Industrias extractivas;2007;7.838
Producción;05-09 Industrias extractivas;2006;7.112
Producción;05-09 Industrias extractivas;2005;6.460
Producción;05-09 Industrias extractivas;2004;6.208
Producción;05-09 Industrias extractivas;2003;5.847
Producción;05-09 Industrias extractivas;2002;5.270
Producción;05-09 Industrias extractivas;2001;4.973
Producción;05-09 Industrias extractivas;2000;4.044
Producción;05-09 Industrias extractivas;1999;3.782
Producción;05-09 Industrias extractivas;1998;3.689
Producción;05-09 Industrias extractivas;1997;3.774
Producción;05-09 Industrias extractivas;1996;3.934
Producción;05-09 Industrias extractivas;1995;4.094
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2018;58.872
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2017;60.453
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2016;59.067
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2015;68.988
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2014;75.739
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2013;75.970
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2012;72.784
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2011;69.295
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2010;72.649
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2009;62.905
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2008;71.158
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2007;57.505
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2006;51.487
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2005;43.828
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2004;33.883
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2003;31.040
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2002;28.318
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2001;26.192
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;2000;23.896
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;1999;21.056
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;1998;19.500
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;1997;20.191
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;1996;18.917
Producción;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;1995;17.634
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2018;..
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2017;60.453
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2016;59.067
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2015;68.988
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2014;75.739
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2013;75.970
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2012;72.784
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2011;69.295
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2010;72.649
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2009;62.905
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2008;71.158
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2007;57.505
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2006;51.487
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2005;43.828
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2004;33.883
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2003;31.040
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2002;28.318
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2001;26.192
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;2000;23.896
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;1999;21.056
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;1998;19.500
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;1997;20.191
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;1996;18.917
Producción;35 Suministro de energía eléctrica, gas, vapor y aire acondicionado;1995;17.634
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2018;30.124
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2017;28.567
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2016;27.593
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2015;26.518
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2014;25.702
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2013;25.834
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2012;25.833
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2011;25.843
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2010;25.672
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2009;21.368
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2008;22.353
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2007;21.685
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2006;20.584
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2005;18.725
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2004;17.349
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2003;16.409
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2002;15.770
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2001;14.373
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2000;13.178
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1999;11.799
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1998;10.244
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1997;9.061
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1996;8.030
Producción;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;1995;7.273
Producción;36 Captación, depuración y distribución de agua;2018;..
Producción;36 Captación, depuración y distribución de agua;2017;9.848
Producción;36 Captación, depuración y distribución de agua;2016;9.527
Producción;36 Captación, depuración y distribución de agua;2015;9.407
Producción;36 Captación, depuración y distribución de agua;2014;9.052
Producción;36 Captación, depuración y distribución de agua;2013;9.009
Producción;36 Captación, depuración y distribución de agua;2012;8.626
Producción;36 Captación, depuración y distribución de agua;2011;8.971
Producción;36 Captación, depuración y distribución de agua;2010;8.608
Producción;36 Captación, depuración y distribución de agua;2009;7.566
Producción;36 Captación, depuración y distribución de agua;2008;7.334
Producción;36 Captación, depuración y distribución de agua;2007;7.413
Producción;36 Captación, depuración y distribución de agua;2006;6.945
Producción;36 Captación, depuración y distribución de agua;2005;6.094
Producción;36 Captación, depuración y distribución de agua;2004;5.474
Producción;36 Captación, depuración y distribución de agua;2003;5.078
Producción;36 Captación, depuración y distribución de agua;2002;4.831
Producción;36 Captación, depuración y distribución de agua;2001;4.463
Producción;36 Captación, depuración y distribución de agua;2000;4.353
Producción;36 Captación, depuración y distribución de agua;1999;4.096
Producción;36 Captación, depuración y distribución de agua;1998;3.826
Producción;36 Captación, depuración y distribución de agua;1997;3.592
Producción;36 Captación, depuración y distribución de agua;1996;3.269
Producción;36 Captación, depuración y distribución de agua;1995;2.978
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2018;..
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2017;18.719
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2016;18.066
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2015;17.111
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2014;16.650
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2013;16.825
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2012;17.207
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2011;16.872
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2010;17.064
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2009;13.802
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2008;15.019
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2007;14.272
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2006;13.639
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2005;12.631
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2004;11.875
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2003;11.331
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2002;10.939
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2001;9.910
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;2000;8.825
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1999;7.703
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1998;6.418
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1997;5.469
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1996;4.761
Producción;37-39 Actividades de saneamiento, gestión de residuos y descontaminación;1995;4.295
Producción;C Industria manufacturera;2018;535.399
Producción;C Industria manufacturera;2017;506.087
Producción;C Industria manufacturera;2016;466.907
Producción;C Industria manufacturera;2015;470.340
Producción;C Industria manufacturera;2014;462.802
Producción;C Industria manufacturera;2013;457.264
Producción;C Industria manufacturera;2012;470.467
Producción;C Industria manufacturera;2011;489.188
Producción;C Industria manufacturera;2010;467.071
Producción;C Industria manufacturera;2009;436.929
Producción;C Industria manufacturera;2008;551.725
Producción;C Industria manufacturera;2007;552.177
Producción;C Industria manufacturera;2006;518.468
Producción;C Industria manufacturera;2005;479.191
Producción;C Industria manufacturera;2004;446.764
Producción;C Industria manufacturera;2003;417.289
Producción;C Industria manufacturera;2002;404.752
Producción;C Industria manufacturera;2001;392.664
Producción;C Industria manufacturera;2000;367.975
Producción;C Industria manufacturera;1999;327.084
Producción;C Industria manufacturera;1998;308.036
Producción;C Industria manufacturera;1997;289.821
Producción;C Industria manufacturera;1996;268.884
Producción;C Industria manufacturera;1995;252.690
Producción;C Industria manufacturera;2018;535.399
Producción;C Industria manufacturera;2017;506.087
Producción;C Industria manufacturera;2016;466.907
Producción;C Industria manufacturera;2015;470.340
Producción;C Industria manufacturera;2014;462.802
Producción;C Industria manufacturera;2013;457.264
Producción;C Industria manufacturera;2012;470.467
Producción;C Industria manufacturera;2011;489.188
Producción;C Industria manufacturera;2010;467.071
Producción;C Industria manufacturera;2009;436.929
Producción;C Industria manufacturera;2008;551.725
Producción;C Industria manufacturera;2007;552.177
Producción;C Industria manufacturera;2006;518.468
Producción;C Industria manufacturera;2005;479.191
Producción;C Industria manufacturera;2004;446.764
Producción;C Industria manufacturera;2003;417.289
Producción;C Industria manufacturera;2002;404.752
Producción;C Industria manufacturera;2001;392.664
Producción;C Industria manufacturera;2000;367.975
Producción;C Industria manufacturera;1999;327.084
Producción;C Industria manufacturera;1998;308.036
Producción;C Industria manufacturera;1997;289.821
Producción;C Industria manufacturera;1996;268.884
Producción;C Industria manufacturera;1995;252.690
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2018;..
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2017;120.607
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2016;112.797
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2015;111.990
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2014;109.980
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2013;108.904
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2012;110.874
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2011;111.450
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2010;104.027
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2009;101.384
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2008;110.634
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2007;103.477
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2006;97.218
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2005;94.203
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2004;88.246
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2003;79.830
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2002;75.781
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2001;72.607
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;2000;64.834
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1999;63.309
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1998;61.378
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1997;60.353
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1996;57.927
Producción;10-12 Industrias de la alimentación, fabricación de bebidas e industria del tabaco;1995;55.516
